questions,ref_answers
Столица Литвы?,Столица Литвы — Вильнюс.
Что такое лингвистика?,"Лингвистика — это наука, изучающая язык."
В каком году основана Российская империя?,Российская империя основана в 1721 году.
Какое крупнейшее государство в мире?,Россия — крупнейшее государство в мире.
Из какого отряда слоны?,Слоны относятся к отряду хоботных.
К какому виду слонов ближе мамонты?,Мамонты ближе к современным азиатским слонам.
Что такое соционика?,Соционика — это псевдонаучная концепция типов личности и взаимоотношений между ними.
Какие города входят в состав Кавказских Минеральных Вод?,"В состав Кавказских Минеральных Вод входят Пятигорск, Железноводск, Лермонтов, Ессентуки, Кисловодск и некоторые другие города"
Год начала перестройки?,Началом перестройки считают 1987 год.
Кто построил Зимний дворец?,Зимний дворец был построен Бартоломео Франческо Растрелли
Где находится Венеция?,Венеция находится на северо-востоке Италии.
На какой реке расположен город Киров?,Киров расположен на реке Вятке.
Что такое агностицизм?,Агностицизм — философская концепция о непознаваемости мира.
К какой группе языков относится русский язык?,Русский язык — язык восточнославянской группы славянской ветви индоевропейской языковой семьи.
Что такое берлинская лазурь?,Берлинская лазурь — это синий пигмент.
Что такое даосизм?,Даосизм — китайское традиционное учение.
Что такое амины?,Амины — органические производные аммиака.
Кто такие русалки?,Русалка — персонаж восточнославянской мифологии.
Где находится Русский музей?,В Санкт-Петербурге.
Какое место по территории занимает Эстония в мире?,Эстония по территории занимает 129-е место в мире.
Кто такой Георгий Данелия?,"Георгий Данелия — советский и российский кинорежиссёр, сценарист."
Кто такой Шон Коннери?,Сэр Томас Шон Коннери — британский актёр и кинопродюсер.
В каком году родилась Клаудия Шиффер?,В 1970 году.
Кто такая Маргарита Терехова?,"Маргарита Терехова — советская и российская актриса, режиссёр театра и кино."
Что изучает астрономия?,"Астрономия изучающает расположение, движение, структуру, происхождение и развитие небесных тел (планет, звёзд, астероидов)."
Столица Молдавии?,Столица Молдавии — Кишинёв.
Что такое социология?,Социология ― наука о совместной жизни людей.
Когда вымерли мамонты?,Мамонты вымерли около 4 тыс. лет назад.
Когда началась Столыпинская аграрная реформа?,Столыпинская аграрная реформа началась в 1906 году.
Какова температура Солнца?,Температура поверхности Солнца — 5780 кельвин.
Кто такой Александр Попадин?,"Александр Николаевич Попадин — современный российский писатель, публицист, культуролог."
Каково население Швеции?,"Население Швеции превышает 10,5 млн человек."
Сколько человек живет в Амстердаме?,Население Амстердама составляет 869 709 человек.
Где находятся египетские пирамиды?,Египетские пирамиды находятся на окраине Каира в Гизе.
Что такое аллитерация?,"Аллитерация — приём звуковой организации стиха, состоящий в повторении согласных в начальных слогах слов."
Столица Дании?,Столица Дании — Копенгаген.
Что такое экологическая ниша?,"Экологическая ниша — место, занимаемое видом в биоценозе."
Кто основал Гугл?,Компания основана Ларри Пейджем и Сергеем Брином.
Кто такой Анубис?,Анубис — древнеегипетский бог погребальных ритуалов и мумификации.
Кто такой Эрл Стэнли Гарднер?,Эрл Стэнли Гарднер — американский писатель.
Когда был открыт Русский музей?,Русский музей был открыт в 1798 году.
Когда отмечают День защитника Отечества?,День защитника Отечества отмечается 23 февраля.
Что такое алхимия?,"Алхимия - наука, направленная на превращение одних веществ в другие."
Со сколькими государствами граничит Россия?,Россия граничит с 18 государствами мира.
Когда распался СССР?,СССР распался в конце 1991 года.
Что такое акрополь?,Акрополь — возвышенная часть древнегреческого города.
Что такое эсперанто?,Эсперанто — искусственный язык.
Какова длина Невы?,Длина Невы 74 км
Сколько человек живет в Европе?,В Европе проживает чуть меньше 750 миллионов человек
Что такое кулонометрия?,"Кулонометрия  — один из электрохимических методов анализа, основанный на измерении электрического заряда"
